,accuracy,precision,recall,spec,roc_auc,bal_acc,f1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9986013986013986,0.9848484848484849,1.0,0.9984615384615385,1.0,0.9992307692307693,0.9923664122137404
2,0.9986013986013986,1.0,0.987012987012987,1.0,1.0,0.9935064935064934,0.9934640522875817
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.993006993006993,0.9375,0.7894736842105263,0.9985632183908046,0.998790078644888,0.8940184513006655,0.8571428571428572
6,0.9888111888111888,0.9047619047619048,0.9661016949152542,0.9908536585365854,0.9967703596527491,0.9784776767259198,0.9344262295081968
7,0.9972027972027973,0.9814814814814815,0.9814814814814815,0.9984871406959153,0.9999439681739227,0.9899843110886983,0.9814814814814815
8,0.9664335664335665,0.896551724137931,0.7428571428571429,0.9906976744186047,0.9874861572535991,0.8667774086378738,0.8125
9,0.9832167832167832,0.864406779661017,0.9272727272727272,0.9878787878787879,0.9881542699724517,0.9575757575757575,0.8947368421052632
10,0.965034965034965,0.810126582278481,0.8648648648648649,0.9765990639625585,0.985537799890374,0.9207319644137117,0.8366013071895425
11,0.9972027972027973,0.9047619047619048,1.0,0.9971264367816092,0.999697519661222,0.9985632183908046,0.9500000000000001
