,accuracy,precision,recall,spec,roc_auc,bal_acc,f1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9972027972027973,0.9047619047619048,1.0,0.9971264367816092,0.9995462794918331,0.9985632183908046,0.9500000000000001
6,0.9958041958041958,1.0,0.9491525423728814,1.0,0.9990698635799917,0.9745762711864407,0.9739130434782608
7,0.9944055944055944,0.9310344827586207,1.0,0.9939485627836612,0.9999159522608841,0.9969742813918305,0.9642857142857143
8,0.9762237762237762,0.9344262295081968,0.8142857142857143,0.993798449612403,0.9903654485049834,0.9040420819490587,0.8702290076335878
9,0.9902097902097902,0.9444444444444444,0.9272727272727272,0.9954545454545455,0.9915977961432507,0.9613636363636364,0.9357798165137615
10,0.9734265734265735,0.8395061728395061,0.918918918918919,0.9797191887675507,0.985917274528819,0.9493190538432348,0.8774193548387097
11,0.9972027972027973,0.9473684210526315,0.9473684210526315,0.9985632183908046,0.9974289171203873,0.9729658197217181,0.9473684210526315
