,accuracy,precision,recall,spec,roc_auc,bal_acc,f1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9972027972027973,0.9047619047619048,1.0,0.9971264367816092,0.9996218995765275,0.9985632183908046,0.9500000000000001
6,0.9944055944055944,0.9824561403508771,0.9491525423728814,0.9984756097560976,0.9984239355105415,0.9738140760644896,0.9655172413793103
7,0.9958041958041958,0.9636363636363636,0.9814814814814815,0.9969742813918305,0.9999439681739227,0.989227881436656,0.9724770642201834
8,0.9748251748251748,0.90625,0.8285714285714286,0.9906976744186047,0.989811738648948,0.9096345514950166,0.8656716417910447
9,0.986013986013986,0.8947368421052632,0.9272727272727272,0.990909090909091,0.9887878787878788,0.9590909090909091,0.9107142857142856
10,0.9706293706293706,0.8533333333333334,0.8648648648648649,0.982839313572543,0.9869081249736477,0.9238520892187039,0.8590604026845637
11,0.9972027972027973,0.9047619047619048,1.0,0.9971264367816092,0.9996975196612221,0.9985632183908046,0.9500000000000001
