,accuracy,precision,recall,spec,roc_auc,bal_acc,f1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9958041958041958,0.8636363636363636,1.0,0.9956896551724138,0.9994706594071385,0.9978448275862069,0.9268292682926829
6,0.9888111888111888,0.9473684210526315,0.9152542372881356,0.9954268292682927,0.9940316246382803,0.9553405332782141,0.9310344827586206
7,0.9902097902097902,0.8983050847457628,0.9814814814814815,0.9909228441754917,0.9985992043480697,0.9862021628284866,0.9380530973451328
8,0.958041958041958,0.7702702702702703,0.8142857142857143,0.9736434108527132,0.9798006644518271,0.8939645625692137,0.7916666666666666
9,0.986013986013986,0.8947368421052632,0.9272727272727272,0.990909090909091,0.9866666666666667,0.9590909090909091,0.9107142857142856
10,0.958041958041958,0.8666666666666667,0.7027027027027027,0.9875195007800313,0.9811738415482565,0.845111101741367,0.7761194029850748
11,0.9972027972027973,0.9047619047619048,1.0,0.9971264367816092,0.9998487598306111,0.9985632183908046,0.9500000000000001
